Site,Year,Block,Plot,Treatment,Replicate,C3_g,C4_g,Forb_g,Cactus_%,Total_g,Total_g_m,Bouteloua_gracilis_stalks
SGS,2025,4,15,3,2,0.21,1.77,0.1,45,2.08,20.8,0
SGS,2025,4,16,1,1,0.8,1.41,0,85,2.21,22.1,1
SGS,2025,4,16,1,2,0,2.11,0.15,20,2.26,22.6,9
SGS,2025,5,17,4,1,0,0,0,0,0,0,0
SGS,2025,5,17,4,2,0,0,0.03,0,0.03,0.3,0
SGS,2025,5,18,2,1,0,0,0.06,0,0.06,0.6,0
SGS,2025,5,18,2,2,0.12,0,1.73,0,1.85,18.5,0
SGS,2025,5,19,1,1,0.21,4.99,0,0,5.2,52,0
SGS,2025,5,19,1,2,0.23,2.32,0,12,2.55,25.5,0
SGS,2025,5,20,3,1,0.08,4,0.89,25,4.97,49.7,0
SGS,2025,5,20,3,2,0,8.6,1.09,6,9.69,96.9,2
SGS,2025,6,21,2,1,0,0,0,0,0,0,0
SGS,2025,6,21,2,2,0,0,0,0,0,0,0
SGS,2025,6,22,4,1,0.07,0.06,0.04,0,0.17,1.7,0
SGS,2025,6,22,4,2,0.06,0,0,7,0.06,0.6,0
SGS,2025,6,23,3,1,0,3.74,0.14,2,3.88,38.8,0
SGS,2025,6,23,3,2,0.26,7.65,0,30,7.91,79.1,0
SGS,2025,6,24,1,1,1.74,3.95,1.03,0,6.72,67.2,0
SGS,2025,6,24,1,2,5.45,3.88,3.58,0.5,12.91,129.1,0
SGS,2025,7,25,2,1,0.15,0.15,0,2,0.3,3,0
SGS,2025,7,25,2,2,0,0,0.07,4,0.07,0.7,0
SGS,2025,7,26,4,1,0.11,1.11,0.38,18,1.6,16,0
SGS,2025,7,26,4,2,0.05,0.34,0,0,0.39,3.9,0
SGS,2025,7,27,1,1,0.28,9.09,0,0,9.37,93.7,6
SGS,2025,7,27,1,2,0.4,6.13,0.42,0,6.95,69.5,6
SGS,2025,7,28,3,1,0.14,6.32,0.35,2,6.81,68.1,0
SGS,2025,7,28,3,2,0,5.11,2.36,0,7.47,74.7,0
SGS,2025,8,29,4,1,0,0,0,0,0,0,0
SGS,2025,8,29,4,2,0,0,0,0,0,0,0
SGS,2025,8,30,2,1,0,0,0,20,0,0,0
SGS,2025,8,30,2,2,0,0,0,0,0,0,0
SGS,2025,8,31,1,1,0.53,3.5,0.21,1,4.24,42.4,0
SGS,2025,8,31,1,2,0.23,6.75,0,5,6.98,69.8,1
SGS,2025,8,32,3,1,0,4.49,5.97,0,10.46,104.6,0
SGS,2025,8,32,3,2,0,2.85,9.96,0,12.81,128.1,0
SGS,2025,9,33,2,1,0,0,0.13,0,0.13,1.3,0
SGS,2025,9,33,2,2,0,0,0,0,0,0,0
SGS,2025,9,34,4,1,0,0,0.41,0,0.41,4.1,0
SGS,2025,9,34,4,2,0,0,0.17,0,0.17,1.7,0
SGS,2025,9,35,3,1,3.73,1.86,3.14,23,8.73,87.3,5
SGS,2025,9,35,3,2,1.16,7.86,0.6,12,9.62,96.2,9
SGS,2025,9,36,1,1,0.56,7.96,0,0,8.52,85.2,0
SGS,2025,9,36,1,2,0.21,8.89,0.16,0,9.26,92.6,0
SGS,2025,10,37,3,1,0.1,5.14,1.32,0,6.56,65.6,3
SGS,2025,10,37,3,2,0.07,6.1,1,0,7.17,71.7,12
SGS,2025,10,38,1,1,0.35,4.19,0,0,4.54,45.4,1
SGS,2025,10,38,1,2,0.72,6.84,0,0,7.56,75.6,2
SGS,2025,10,39,4,1,0,0,0,0,0,0,0
SGS,2025,10,39,4,2,0,0,0.06,0,0.06,0.6,0
SGS,2025,10,40,2,1,0,0,0,0,0,0,0
SGS,2025,10,40,2,2,0,0,0,0,0,0,0
